cnc_id,cnc_date,SpindleSpeed_max,Servocurrent_mean,SpindleLoad_max
20220823-0000185,2023-10-08 03:14:36.906,2227.05,158.42,31398.31
20220823-0000186,2023-10-08 03:14:37.884,2227.05,151.36,32008.19
20220823-0000187,2023-10-08 03:15:50.892,2227.05,143.86,31502.09
20220823-0000188,2023-10-08 03:17:13.888,2224.02,145.8,31207.9
20220823-0000189,2023-10-08 03:18:26.904,2225.03,144.1,32091.01
20220823-0000191,2023-10-08 03:20:59.888,2227.05,154.38,31375.78
20220823-0000192,2023-10-08 03:22:16.387,2227.05,165.65,31689.76
20220823-0000193,2023-10-08 03:23:33.382,2223.01,158.99,31286.88
20220823-0000194,2023-10-08 03:24:50.380,2226.04,155.74,31572.28
20220823-0000195,2023-10-08 03:26:06.889,2228.06,146.76,31286.8
20220823-0000196,2023-10-08 03:27:24.896,2228.06,152.29,32060.76
20220823-0000197,2023-10-08 03:28:41.885,2226.04,150.17,31776.97
20220823-0000198,2023-10-08 03:29:57.889,2226.04,150.71,31931.4
20220823-0000199,2023-10-08 03:31:39.756,2226.04,141.69,32057.87
20220823-0000200,2023-10-08 03:32:32.381,2224.02,148.81,32096.81
20220823-0000201,2023-10-08 03:33:48.386,2226.04,161.55,32085.18
20220823-0000202,2023-10-08 03:35:05.390,2226.04,160.88,32057.32
20220823-0000203,2023-10-08 03:36:22.388,2228.06,153.07,31690.09
20220823-0000204,2023-10-08 03:37:48.874,2231.09,166.52,31609.72
20220823-0000205,2023-10-08 03:38:56.378,2226.04,171.62,31611.42
20220823-0000206,2023-10-08 03:38:57.395,2226.04,162.1,31826.9
20220823-0000208,2023-10-08 03:41:30.879,2224.02,158.82,31501.95
20220823-0000209,2023-10-08 03:42:47.891,2225.03,155.35,31824.75
20220823-0000210,2023-10-08 03:44:05.884,2228.06,169.11,31397.43
20220823-0000210,2023-10-08 03:44:05.884,2216.92,152.2,31711.4
20220823-0000212,2023-10-08 03:46:38.878,2224.02,155.89,31929.04
20220823-0000213,2023-10-08 03:47:57.369,2226.04,144.59,32046.27
20220823-0000214,2023-10-08 03:49:10.371,2230.08,148.4,31930.98
20220823-0000216,2023-10-08 03:51:36.879,2228.06,165.04,31501.68
20220823-0000217,2023-10-08 03:51:37.883,2228.06,153.96,32047.57
20220823-0000218,2023-10-08 03:53:17.873,2227.05,158.39,31500.59
20220823-0000219,2023-10-08 03:54:14.872,2227.05,152.88,31287.09
20220823-0000219,2023-10-08 03:54:14.872,2215.91,137.59,31599.96
20220823-0000220,2023-10-08 03:56:00.876,2230.08,149.66,32060.48
20220823-0000221,2023-10-08 03:57:17.373,2233.11,153.43,31689.65
20220823-0000222,2023-10-08 03:58:30.369,2226.04,134.39,31829.41
20220823-0000224,2023-10-08 03:59:44.365,2227.05,148.35,32001.52
20220823-0000226,2023-10-08 04:02:16.380,2222.0,152.23,31517.76
