배정번호,건조로 온도 1 Zone_min,건조로 온도 1 Zone_max,건조로 온도 2 Zone_min,건조로 온도 2 Zone_max,세정기_min,세정기_max,소입로 CP 값_min,소입로 CP 값_max,소입로 온도 1 Zone_min,소입로 온도 1 Zone_max,소입로 온도 2 Zone_min,소입로 온도 2 Zone_max,소입로 온도 3 Zone_min,소입로 온도 3 Zone_max,소입로 온도 4 Zone_min,소입로 온도 4 Zone_max,솔트 컨베이어 온도 1 Zone_min,솔트 컨베이어 온도 1 Zone_max,솔트 컨베이어 온도 2 Zone_min,솔트 컨베이어 온도 2 Zone_max,솔트조 온도 1 Zone_min,솔트조 온도 1 Zone_max,솔트조 온도 2 Zone_min,솔트조 온도 2 Zone_max,양품수량,불량수량,총수량,불량률,불량단계,불량숫자단계,공정상태
102410,97.8385,101.755,98.4388,101.247,68.2865,71.3073,0.430979,0.505652,847.607,870.536,858.883,861.258,859.352,860.889,858.474,862.014,268.773,295.967,270.227,288.406,328.659,329.293,328.805,329.3,15160,3,15163,0.02,안정,1,1
102585,97.984,101.76,98.5958,101.263,67.6928,71.4901,0.4399145,0.4709,850.938,871.084,858.818,861.795,859.099,860.874,858.161,861.513,268.844,296.437,268.607,290.651,328.703,329.343,328.689,329.121,29892,10,29902,0.033,안정,1,1
102930,97.7743,101.999,98.5116,101.501,67.3211,71.3517,0.404613,0.473188,850.017,869.805,858.688,861.587,859.134,861.064,858.316,861.865,268.714,297.002,268.493,289.902,328.714,329.443,328.787,329.383,59616,30,59646,0.05,위험,0,1
103142,98.3127,101.818,98.181,101.395,67.1142,71.3535,0.38364,0.4736305,852.083,869.918,859.21,860.839,859.286,860.768,858.555,861.752,267.681,296.633,268.751,290.161,328.687,329.38,328.623,329.267,74730,13,74743,0.017,안정,1,1
103675,97.7285,102.076,98.4935,101.408,67.8759,71.2009,0.438666,0.463701,849.637,872.031,859.237,860.924,859.317,861.067,858.397,862.106,266.23,295.982,270.369,287.75,328.791,329.261,328.9,329.32,14979,2,14981,0.013,안정,1,1
103719,98.4748,101.961,98.6209,101.562,66.8199,71.339,0.367097,0.470967,852.565,870.315,858.798,860.984,859.244,860.863,858.272,861.878,268.348,295.634,267.842,289.91,328.546,329.273,328.812,329.387,59671,3,59674,0.005,안정,1,1
104126,99.2698,102.02,99.4547,101.533,68.8893,70.7973,0.0969111,0.465481,855.002,871.31,859.348,861.624,859.158,861.136,858.318,861.572,268.197,295.638,269.032,288.006,328.161,329.272,328.073,329.315,29914,0,29914,0.0,안정,1,1
104388,97.8595,101.969,98.7373,101.408,60.6244,67.7261,0.418617,0.909111,850.381,871.001,858.075,861.385,858.608,860.852,858.347,861.77,268.663,296.396,268.617,289.893,328.704,329.659,329.083,329.844,104740,21,104761,0.02,안정,1,1
105072,98.3049,102.034,98.7725,101.333,64.3598,66.5871,0.4337975,0.60676,851.431,870.49,858.927,861.185,859.19,860.689,858.145,861.688,268.469,295.81,268.71,289.475,328.775,329.6,329.39,329.919,89759,8,89767,0.009,안정,1,1
105815,97.9102,101.993,98.4797,101.576,64.2251,65.489,0.418873,0.47004,849.813,863.392,858.357,860.801,859.328,860.56,858.719,861.822,268.737,295.304,269.58,288.238,328.726,329.269,329.307,329.648,9020,3,9023,0.033,안정,1,0
106027,98.2288,101.661,98.4265,101.317,64.7783,67.5939,0.416441,0.502486,851.189,870.222,859.001,861.0805,858.997,860.662,858.822,861.69,268.945,296.419,269.11,290.573,331.737,332.457,332.072,332.749,90088,9,90097,0.01,안정,1,1
106293,98.3456,101.45,98.6647,101.195,64.5949,67.5821,0.434564,0.463185,851.964,871.419,859.103,861.159,859.254,860.995,858.31,862.125,267.289,295.687,269.46,288.711,331.893,332.493,332.117,332.64,44825,1,44826,0.002,안정,1,1
107402,98.2454,101.912,98.5351,101.401,64.3341,67.441,0.422714,0.466862,851.348,871.3565000000001,858.875,861.116,859.174,860.939,857.992,861.857,268.689,296.198,268.619,290.108,331.822,332.591,332.107,332.683,89726,5,89731,0.006,안정,1,1
108503,98.0614,101.756,98.6671,101.384,66.7017,69.4206,0.432447,0.465954,850.987,871.051,858.948,862.046,859.143,860.689,858.746,861.754,268.828,296.683,268.784,290.001,331.87,332.458,332.07,332.671,89616,1,89617,0.001,안정,1,1
113479,97.8418,101.721,98.5573,101.399,64.4353,66.0398,0.441181,0.465428,847.969,872.573,857.319,861.828,858.664,861.074,858.611,861.668,268.628,296.006,268.306,289.356,331.645,332.276,331.879,332.352,44241,23,44264,0.052,위험,0,0
113977,97.5848,101.893,98.4737,101.357,64.0048,65.5933,0.435968,0.469627,847.214,867.383,857.913,861.672,858.906,860.901,858.913,861.448,268.409,295.982,270.215,287.661,331.597,332.242,331.801,332.38,29972,16,29988,0.053,위험,0,0
114449,97.9698,101.895,98.5375,101.378,64.8863,66.617,0.437234,0.463179,848.61,871.063,857.599,862.093,858.684,860.929,858.883,861.499,269.005,296.607,270.432,288.623,331.698,332.133,331.933,332.281,11773,6,11779,0.051,위험,0,0
114453,98.7529,101.645,99.2216,101.31,64.3929,66.7217,0.435235,0.479184,852.168,871.551,858.878,861.775,859.16,860.613,858.892,861.62,268.567,296.756,269.223,289.512,331.533,332.319,331.703,332.438,89618,38,89656,0.042,위험,0,1
114838,97.6224,102.269,98.2965,101.563,63.1405,66.474,0.410689,0.469162,850.597,871.029,858.218,861.431,859.328,860.652,858.158,861.868,268.533,296.138,268.939,289.352,331.445,332.393,331.427,332.664,74537,46,74583,0.062,위험,0,1
116198,97.8979,102.026,98.6351,101.348,65.7342,67.3261,0.427852,0.464599,850.985,871.239,858.217,862.435,858.936,861.032,858.644,861.618,269.274,296.946,268.981,289.754,331.593,332.255,331.957,332.487,45426,14,45440,0.031,안정,1,1
116324,97.8969,101.508,98.8226,100.963,64.202,66.605,0.423543,0.473562,851.458,870.864,858.088,861.831,859.069,861.341,858.332,861.431,268.891,297.332,268.554,290.995,331.563,332.295,331.992,332.75,90902,10,90912,0.011,안정,1,1
116413,98.1414,101.755,98.4974,101.3235,65.7213,66.8778,0.439367,0.474863,850.797,870.978,858.416,861.846,859.36,860.891,858.789,861.603,269.137,297.299,270.309,288.78,331.64,332.25,332.108,332.574,13678,34,13712,0.248,위험,0,0
116694,98.1054,101.817,98.3714,101.419,65.7,67.5919,0.434224,0.467278,849.054,871.81,858.446,861.269,859.369,860.734,858.79,861.261,269.245,297.181,269.385,290.326,331.657,332.292,332.235,332.683,30019,6,30025,0.02,안정,1,1
116862,98.2296,102.307,98.2153,101.656,64.1159,66.8276,0.431665,0.47112,849.423,872.044,857.948,862.036,858.911,860.897,858.934,861.38,268.95,297.17,268.996,290.318,331.347,332.19,331.817,332.787,45471,10,45481,0.022,안정,1,0
117694,97.8472,101.754,98.5903,101.325,66.5857,68.3143,0.4353615,0.465444,849.109,872.325,858.451,861.706,859.173,860.913,858.226,861.688,269.374,297.403,269.139,290.877,331.444,332.145,332.097,332.798,89775,3,89778,0.003,안정,1,1
118005,98.3735,102.151,99.2881,101.487,65.1787,67.6462,0.00509637,0.466436,848.837,870.078,858.756,866.034,859.133,870.119,858.277,882.148,269.111,297.175,268.75,290.918,331.21,332.154,331.712,332.976,59854,4,59858,0.007,안정,1,1
118664,98.9866,101.771,99.4982,101.441,62.4645,66.4857,0.438499,0.459605,849.511,871.205,857.286,862.259,858.969,861.257,858.83,861.414,268.589,296.619,269.222,290.226,331.563,332.327,331.925,332.453,29880,1,29881,0.003,안정,1,1
